LS,MFL,MSR,WAMP,Class
3.417713381146561e-06,-3.3017589797629507,0.0013699141337674468,0,0
3.6592629790853038e-06,-3.294205841872505,0.0014571035648061454,0,0
4.1389957067094985e-06,-3.269819268372419,0.0015423431570668277,0,0
4.249253042769895e-06,-3.2610595022250126,0.0015711086833609998,0,0
4.2023975254798094e-06,-3.2871500260043343,0.0015530180594402593,0,0
4.143660355531052e-06,-3.2864139334859086,0.0015218358767925433,0,0
4.347067648129403e-06,-3.238419035553058,0.0015853487084519701,0,0
4.8122343497164826e-06,-3.2206770983758917,0.0016728720213962294,0,0
4.969083166341216e-06,-3.2079073912391145,0.0016890636591154584,0,0
4.828219573154495e-06,-3.232207717667619,0.001696990614099873,0,0
4.678213708338738e-06,-3.240399105009944,0.001669225789621534,0,0
4.487227143380795e-06,-3.2470653062190293,0.0015866693523986432,0,0
4.1213052460843615e-06,-3.255887216215982,0.001528374351701037,0,0
4.106783226168206e-06,-3.2652421459371883,0.0015242160791673085,0,0
3.91973520903601e-06,-3.2831168697068924,0.001499927838221414,0,0
3.999243268076969e-06,-3.2802070130461307,0.0015342121794318867,0,0
4.069157992749071e-06,-3.3145162102207006,0.001549039764370121,0,0
3.706998618794551e-06,-3.3280641091334724,0.001487704627376894,0,0
3.5436258947377864e-06,-3.361714582604042,0.0014731303795291098,0,0
3.3155861759331656e-06,-3.3745867971965926,0.001411942152284431,0,0
3.326279663325972e-06,-3.3745867971965926,0.001407089547766107,0,0
3.574760225315608e-06,-3.350489647092997,0.0014873628030945745,0,0
3.922980660456666e-06,-3.339132146568168,0.0015475068016311399,0,0
4.039552874874542e-06,-3.3321305665761263,0.0015568574633656272,0,0
4.067078703533803e-06,-3.317271145941198,0.0015711286010392453,0,0
3.992862380538051e-06,-3.3224342870131287,0.0015535654233467136,0,0
3.8055173220893867e-06,-3.3383025484517153,0.0015196309417337447,0,0
3.723335891200227e-06,-3.3329484471980826,0.0014932211336362025,0,0
3.630097922420356e-06,-3.335411371465712,0.0014389361706346907,0,0
3.8094888745058512e-06,-3.29721135201223,0.0014754517531119207,0,0
3.7446568568044023e-06,-3.2864139334859086,0.001451089272218888,0,0
3.571855821332375e-06,-3.299479213468052,0.0014030624087249084,0,0
3.1814335161925456e-06,-3.312949772158556,0.0013488672518176274,0,0
3.014133245840275e-06,-3.306739915053317,0.0013286671516354045,0,0
3.1072722008479903e-06,-3.2875185406483403,0.0013394178512766363,0,0
3.3353559257735697e-06,-3.257604476191308,0.0013849092745160483,0,0
3.3144200137277767e-06,-3.254860110143466,0.0013766820964810095,0,0
3.2314574741916107e-06,-3.258983189990173,0.0013560557706146297,0,0
3.2734063089948727e-06,-3.247401317440358,0.0013837077288550623,0,0
3.0839379552099837e-06,-3.284213112144832,0.0013454666914353224,0,0
3.0739265626920267e-06,-3.2831168697068924,0.0013383085503914666,0,0
3.098525984307578e-06,-3.2776767841885364,0.0013311766832774167,0,0
3.1287471878755186e-06,-3.270527742398872,0.0013194687856379896,0,0
2.9895998334061606e-06,-3.300997727189594,0.0012758049366740454,0,0
2.882752971720013e-06,-3.3164822365836573,0.0012529809279362902,0,0
2.7036150548300267e-06,-3.326448127801442,0.0012199502373509894,0,0
2.6498395750192883e-06,-3.323634548897055,0.0011890882187894855,0,0
2.866536716146971e-06,-3.299479213468052,0.0012317850921948765,0,0
2.977729182277727e-06,-3.2831168697068924,0.0012537780086739443,0,0
3.066698557324667e-06,-3.2838473904542487,0.0012870655855981637,0,0
3.159551472546155e-06,-3.2845791420711796,0.0013158951760214354,0,0
3.218189628722758e-06,-3.270527742398872,0.0013370998336693237,0,0
3.4921937408680626e-06,-3.2552022090047186,0.001384970510789298,0,0
3.533823531294379e-06,-3.251453861451555,0.001420203807713735,0,0
3.6605171535326095e-06,-3.238748420841432,0.0014420266449465514,0,0
3.6443779086712437e-06,-3.2390780561376395,0.0014444972283338925,0,0
3.727406457388847e-06,-3.2430533194251234,0.001490209908249442,0,0
3.678614670776607e-06,-3.2390780561376395,0.001465081666084756,0,0
3.6276665842374233e-06,-3.251453861451555,0.0014439472914320641,0,0
3.539346299474615e-06,-3.254860110143466,0.0014110013241293946,0,0
3.6306259958718523e-06,-3.233508001518893,0.0014352154129023541,0,0
3.6429587112703457e-06,-3.246394062682153,0.001434817251881867,0,0
3.4183624714306926e-06,-3.270527742398872,0.0014136245552869838,0,0
3.464282858650419e-06,-3.262449245753018,0.001407744313029045,0,0
3.472049938999516e-06,-3.266996873503739,0.0014260812993741813,0,0
3.6083258940763604e-06,-3.2614065214060033,0.0014647026063502218,0,0
3.590976480888649e-06,-3.2470653062190293,0.0014490267485431031,0,0
3.4076469809774086e-06,-3.2652421459371883,0.0014095141658367718,0,0
3.3580190780669663e-06,-3.2593285534134657,0.0014087134844666584,0,0
3.3123407245125082e-06,-3.2600201052823663,0.0014154955721141166,0,0
3.0872384142818367e-06,-3.295705997014913,0.0013621885784730163,0,0
3.1545017701662183e-06,-3.277316523295291,0.001376059105187803,0,0
3.4209918371579364e-06,-3.2407299960597817,0.0014287598931051625,0,0
3.6320121886820312e-06,-3.2607127601052732,0.001484677269158016,0,0
3.4856588319057922e-06,-3.269819268372419,0.0014307428847640771,0,0
3.659295983676023e-06,-3.2823875756952057,0.0014428898546093446,0,0
4.011289943689234e-06,-3.2787593634327026,0.0015094671560920785,0,0
4.269308832396526e-06,-3.244386534537837,0.0015879159523278894,0,0
4.388873463039552e-06,-3.2397380782736467,0.0016228547917647804,0,0
4.368696656580284e-06,-3.240399105009944,0.001588503735691845,0,0
4.4497009237338185e-06,-3.2344857756247483,0.0016042536550864134,0,0
4.264292134607309e-06,-3.2593285534134657,0.0015366022824275319,0,0
3.960638898466518e-06,-3.316088318659233,0.0014707865235155993,0,0
3.7171970373265794e-06,-3.296458022279711,0.001417301340108626,0,0
3.943080456204256e-06,-3.2794825850517983,0.001477326934827961,0,0
3.6738070020619398e-06,-3.271948167154541,0.0014480839717365046,0,0
3.218112618011082e-06,-3.2945803951358275,0.0013569996102116113,0,0
3.0848950883408205e-06,-3.3216359513436484,0.0013371566001314803,0,0
2.872158498099362e-06,-3.352625876102106,0.0012940014689050217,0,0
2.9942204761067564e-06,-3.354342457316781,0.0013178678894922471,0,0
3.049294136485758e-06,-3.354342457316781,0.0013336235038481803,0,0
3.2678615377541585e-06,-3.343304075690209,0.001414994479285526,0,0
3.386072980177723e-06,-3.337474532029485,0.0014358803482775369,0,0
3.4572088747064123e-06,-3.3509160530986835,0.0014531778274283775,0,0
3.2724051697430764e-06,-3.3564977693429157,0.0014184690934065196,0,0
3.2166274114287467e-06,-3.37368670468393,0.0013794599119328298,0,0
3.2540876218942883e-06,-3.3630286365018733,0.00138232743720658,0,0
3.1659763662060305e-06,-3.376392598059855,0.001349063074753477,0,0
3.1841728972221833e-06,-3.3754887590616103,0.0013298101904780765,0,0
3.1324547035662345e-06,-3.375037543974889,0.0013363723273751718,0,0
3.06595045326838e-06,-3.3832320225901604,0.0013191763695741157,0,0
2.8842931859535433e-06,-3.386924240211645,0.0012781556217288117,0,0
2.7149686340372036e-06,-3.380026882714949,0.001252722995563206,0,0
2.877923299944867e-06,-3.363906886511795,0.0012831925058385731,0,0
2.821793492662873e-06,-3.3859982388333125,0.0012647484351025788,0,0
2.8066883916440217e-06,-3.379570930461097,0.001262164716942303,0,0
